timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721898206000,751,HTTP Request,200,OK,Thread Group 1-1,text,true,,108828,279,8,8,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,508,0,332
1721898206113,742,HTTP Request,200,OK,Thread Group 1-2,text,true,,108828,279,9,9,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,502,0,324
1721898206205,740,HTTP Request,200,OK,Thread Group 1-3,text,true,,108828,279,10,10,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,498,0,323
1721898206762,274,HTTP Request,200,OK,Thread Group 1-1,text,true,,108828,279,10,10,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,177,0,0
1721898206313,747,HTTP Request,200,OK,Thread Group 1-4,text,true,,108828,279,9,9,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,506,0,329
1721898206870,277,HTTP Request,200,OK,Thread Group 1-2,text,true,,108828,279,9,9,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,181,0,0
1721898206408,762,HTTP Request,200,OK,Thread Group 1-5,text,true,,108828,279,8,8,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,514,0,333
1721898206955,286,HTTP Request,200,OK,Thread Group 1-3,text,true,,108828,279,8,8,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,173,0,0
1721898206513,754,HTTP Request,200,OK,Thread Group 1-6,text,true,,108828,279,7,7,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,505,0,327
1721898207075,293,HTTP Request,200,OK,Thread Group 1-4,text,true,,108828,279,7,7,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,192,0,0
1721898206607,761,HTTP Request,200,OK,Thread Group 1-7,text,true,,108828,279,7,7,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,509,0,330
1721898207181,291,HTTP Request,200,OK,Thread Group 1-5,text,true,,108828,279,6,6,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,187,0,0
1721898206701,772,HTTP Request,200,OK,Thread Group 1-8,text,true,,108828,279,6,6,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,515,0,331
1721898206799,758,HTTP Request,200,OK,Thread Group 1-9,text,true,,108828,279,5,5,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,512,0,329
1721898207280,290,HTTP Request,200,OK,Thread Group 1-6,text,true,,108828,279,5,5,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,192,0,0
1721898207384,297,HTTP Request,200,OK,Thread Group 1-7,text,true,,108828,279,4,4,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,186,0,0
1721898207494,286,HTTP Request,200,OK,Thread Group 1-8,text,true,,108828,279,3,3,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,187,0,0
1721898207571,293,HTTP Request,200,OK,Thread Group 1-9,text,true,,108828,279,2,2,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,186,0,0
1721898206900,3860,HTTP Request,200,OK,Thread Group 1-10,text,true,,108828,279,1,1,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,3588,0,3391
1721898210771,290,HTTP Request,200,OK,Thread Group 1-10,text,true,,108828,279,1,1,https://www.xe.com/_next/data/4P69r3dfyaAr0qhw9ucvk/en/currencyconverter/convert.json?Amount=1&From=USD&To=EUR,181,0,0
